	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
5	5	657	3	0.5	300	0.0020692638561704995	5	False	False	1.764	1.795	1.7786	0.6779	0.6765	0.6812	266.0791	266.0791	266.0791	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
6	6	455	2	0.49	300	0.0024965762178914648	6	False	False	1.8326	1.8609	1.8457	0.6698	0.6696	0.6733	238.2794	238.2794	238.2794	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
7	7	103	1	0.44	300	0.0030121305183748843	7	False	False	1.8959	1.9215	1.9082	0.6618	0.6626	0.6664	213.6917	213.6917	213.6917	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
8	8	203	4	0.05	300	0.0036341491177818244	8	False	False	1.8918	1.9164	1.9067	0.6598	0.6611	0.6628	198.7215	198.7215	198.7215	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
9	9	150	4	0.02	300	0.004384617376208487	9	False	False	1.9892	2.0119	2.0029	0.6451	0.6464	0.6468	173.7402	173.7402	173.7402	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
10	10	72	3	0.23	300	0.005290060730222237	10	False	False	2.1477	2.1668	2.1581	0.6226	0.6247	0.6264	145.9507	145.9507	145.9507	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
11	11	467	3	0.31	300	0.006382482239223045	11	False	False	2.2873	2.3046	2.2959	0.604	0.6058	0.6097	124.4647	124.4647	124.4647	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
12	12	377	0	0.37	300	0.007700493739376463	12	False	False	2.4297	2.4448	2.4362	0.5902	0.5912	0.5956	106.1587	106.1587	106.1587	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
13	13	436	2	0.25	300	0.009290680585958758	13	False	False	2.5387	2.5513	2.5433	0.5746	0.5771	0.5813	92.2933	92.2933	92.2933	46.0	46.0	46.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
14	14	382	2	0.41	300	0.011209248221179687	14	False	False	2.7487	2.7569	2.7498	0.537	0.5415	0.5452	74.1544	74.1544	74.1544	47.0	47.0	47.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
15	15	326	3	0.09	300	0.01352400876572098	15	False	False	2.838	2.844	2.8377	0.5173	0.5215	0.5251	64.9124	64.9124	64.9124	46.0	46.0	46.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
16	16	326	2	0.02	300	0.01631677785042834	16	False	False	2.9859	2.99	2.9844	0.49	0.4945	0.4965	54.8833	54.8833	54.8833	46.0	46.0	46.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
17	17	247	2	0.15	300	0.01968626640460739	17	False	False	3.2021	3.2032	3.1989	0.4378	0.4406	0.4412	43.2292	43.2292	43.2292	46.0	46.0	46.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
18	18	179	1	0.01	300	0.02375156961170491	18	False	False	3.3792	3.3773	3.3747	0.389	0.3935	0.3951	34.9391	34.9391	34.9391	45.0	45.0	45.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
19	19	137	5	0.3	300	0.028656376350145975	19	False	False	3.6423	3.6358	3.6366	0.3416	0.3458	0.3454	25.2916	25.2916	25.2916	43.0	43.0	43.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
20	20	786	2	0.24	300	0.03457404790277603	20	False	False	3.84	3.8308	3.8347	0.3049	0.31	0.3087	19.0583	19.0583	19.0583	44.0	44.0	44.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
21	21	410	1	0.49	300	0.04171374544281356	21	False	False	4.0146	4.0027	4.0074	0.2954	0.3004	0.2984	14.8117	14.8117	14.8117	43.0	43.0	43.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
22	22	388	0	0.48	300	0.0503278228734142	22	False	False	4.1578	4.1437	4.1486	0.2741	0.2812	0.2809	11.875	11.875	11.875	44.0	44.0	44.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
23	23	38	2	0.4	300	0.06072074632210035	23	False	False	4.3227	4.3071	4.3118	0.2431	0.2464	0.2474	9.0197	9.0197	9.0197	42.0	42.0	42.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
24	24	467	2	0.11	300	0.07325985555120318	24	False	False	4.4448	4.429	4.4336	0.1633	0.1704	0.1696	7.0688	7.0688	7.0688	42.0	42.0	42.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
25	25	176	4	0.05	300	0.08838834764831845	25	False	False	4.6044	4.593	4.5967	0.1229	0.1325	0.1333	5.1308	5.1308	5.1308	39.0	39.0	39.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
